
2024/10/01 (15:02:18) | ===> btop++ v.1.4.0
2024/10/01 (15:02:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (15:02:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (15:14:56) | ===> btop++ v.1.4.0
2024/10/01 (15:14:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (15:14:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (15:17:09) | ===> btop++ v.1.4.0
2024/10/01 (15:17:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (15:17:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (15:44:16) | ===> btop++ v.1.4.0
2024/10/01 (15:44:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (15:44:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (15:59:54) | ===> btop++ v.1.4.0
2024/10/01 (15:59:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (15:59:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (16:09:14) | ===> btop++ v.1.4.0
2024/10/01 (16:09:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (16:09:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (16:21:16) | ===> btop++ v.1.4.0
2024/10/01 (16:21:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (16:21:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (16:33:54) | ===> btop++ v.1.4.0
2024/10/01 (16:33:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (16:33:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (17:01:53) | ===> btop++ v.1.4.0
2024/10/01 (17:01:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (17:01:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (17:16:25) | ===> btop++ v.1.4.0
2024/10/01 (17:16:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (17:16:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (17:41:51) | ===> btop++ v.1.4.0
2024/10/01 (17:41:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (17:41:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (18:01:54) | ===> btop++ v.1.4.0
2024/10/01 (18:01:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (18:01:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (20:30:39) | ===> btop++ v.1.4.0
2024/10/01 (20:30:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (20:30:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (08:46:47) | ===> btop++ v.1.4.0
2024/10/02 (08:46:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/02 (08:46:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (13:38:25) | ===> btop++ v.1.4.0
2024/10/02 (13:38:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/02 (13:38:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/03 (12:36:38) | ===> btop++ v.1.4.0
2024/10/03 (12:36:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/03 (12:36:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (08:19:00) | ===> btop++ v.1.4.0
2024/10/04 (08:19:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/04 (08:19:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (19:48:21) | ===> btop++ v.1.4.0
2024/10/06 (19:48:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/06 (19:48:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (19:49:53) | ===> btop++ v.1.4.0
2024/10/06 (19:49:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/06 (19:49:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (19:51:00) | ===> btop++ v.1.4.0
2024/10/06 (19:51:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/06 (19:51:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (19:51:55) | ===> btop++ v.1.4.0
2024/10/06 (19:51:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/06 (19:51:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (19:56:24) | ===> btop++ v.1.4.0
2024/10/06 (19:56:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/06 (19:56:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (19:58:12) | ===> btop++ v.1.4.0
2024/10/06 (19:58:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/06 (19:58:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (20:00:11) | ===> btop++ v.1.4.0
2024/10/06 (20:00:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/06 (20:00:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (12:19:16) | ===> btop++ v.1.4.0
2024/10/08 (12:19:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/08 (12:19:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (16:17:53) | ===> btop++ v.1.4.0
2024/10/08 (16:17:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/08 (16:17:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (12:15:47) | ===> btop++ v.1.4.0
2024/10/09 (12:15:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/09 (12:15:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (16:43:36) | ===> btop++ v.1.4.0
2024/10/09 (16:43:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/09 (16:43:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (11:22:14) | ===> btop++ v.1.4.0
2024/10/10 (11:22:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/10 (11:22:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/11 (15:36:56) | ===> btop++ v.1.4.0
2024/10/11 (15:36:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/11 (15:36:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (09:47:27) | ===> btop++ v.1.4.0
2024/10/12 (09:47:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/12 (09:47:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (16:31:17) | ===> btop++ v.1.4.0
2024/10/12 (16:31:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/12 (16:31:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (20:33:11) | ===> btop++ v.1.4.0
2024/10/12 (20:33:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/12 (20:33:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (11:29:04) | ===> btop++ v.1.4.0
2024/10/13 (11:29:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/13 (11:29:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (13:15:17) | ===> btop++ v.1.4.0
2024/10/13 (13:15:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/13 (13:15:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (18:56:30) | ===> btop++ v.1.4.0
2024/10/13 (18:56:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/13 (18:56:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (08:16:50) | ===> btop++ v.1.4.0
2024/10/14 (08:16:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/14 (08:16:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (10:26:36) | ===> btop++ v.1.4.0
2024/10/15 (10:26:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/15 (10:26:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (16:42:53) | ===> btop++ v.1.4.0
2024/10/15 (16:42:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/15 (16:42:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (20:30:14) | ===> btop++ v.1.4.0
2024/10/15 (20:30:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/15 (20:30:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (08:33:03) | ===> btop++ v.1.4.0
2024/10/16 (08:33:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/16 (08:33:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (10:09:16) | ===> btop++ v.1.4.0
2024/10/16 (10:09:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/16 (10:09:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (11:56:30) | ===> btop++ v.1.4.0
2024/10/16 (11:56:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/16 (11:56:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (20:31:17) | ===> btop++ v.1.4.0
2024/10/16 (20:31:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/16 (20:31:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (09:11:48) | ===> btop++ v.1.4.0
2024/10/17 (09:11:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/17 (09:11:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (08:20:53) | ===> btop++ v.1.4.0
2024/10/18 (08:20:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/18 (08:20:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (11:47:35) | ===> btop++ v.1.4.0
2024/10/19 (11:47:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/19 (11:47:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (09:09:28) | ===> btop++ v.1.4.0
2024/10/22 (09:09:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/22 (09:09:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (17:19:51) | ===> btop++ v.1.4.0
2024/10/22 (17:19:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/22 (17:19:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (15:03:17) | ===> btop++ v.1.4.0
2024/10/23 (15:03:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/23 (15:03:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/24 (20:30:02) | ===> btop++ v.1.4.0
2024/10/24 (20:30:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/24 (20:30:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (08:20:25) | ===> btop++ v.1.4.0
2024/10/25 (08:20:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/25 (08:20:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (21:37:00) | ===> btop++ v.1.4.0
2024/10/25 (21:37:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/25 (21:37:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (21:49:29) | ===> btop++ v.1.4.0
2024/10/25 (21:49:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/25 (21:49:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (09:46:48) | ===> btop++ v.1.4.0
2024/10/26 (09:46:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/26 (09:46:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (09:56:12) | ===> btop++ v.1.4.0
2024/10/27 (09:56:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/27 (09:56:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (16:39:17) | ===> btop++ v.1.4.0
2024/10/27 (16:39:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/27 (16:39:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (15:45:26) | ===> btop++ v.1.4.0
2024/10/29 (15:45:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/29 (15:45:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (11:00:17) | ===> btop++ v.1.4.0
2024/10/30 (11:00:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/30 (11:00:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (16:03:14) | ===> btop++ v.1.4.0
2024/10/30 (16:03:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/30 (16:03:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (12:36:30) | ===> btop++ v.1.4.0
2024/10/31 (12:36:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/31 (12:36:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (14:57:52) | ===> btop++ v.1.4.0
2024/10/31 (14:57:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/31 (14:57:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (15:29:06) | ===> btop++ v.1.4.0
2024/10/31 (15:29:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/31 (15:29:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (16:52:27) | ===> btop++ v.1.4.0
2024/10/31 (16:52:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/31 (16:52:27) | WARNING: Intel GPU: Failed to initialize PMU

